starting run...

=== quality target = 0.99 ===
[  1/ 61] SYN_1x1 black                  | k=     | achieved=% | CR=Inf | PSNR=   Inf | time=0.0036s
[  2/ 61] SYN_1x1 white                  | k=   1 | achieved=100.00% | CR=0.0833 | PSNR=   Inf | time=0.0004s
[  3/ 61] SYN_2x2 checker                | k=   2 | achieved=100.00% | CR=0.1000 | PSNR=   Inf | time=0.0007s
[  4/ 61] SYN_odd uniform black          | k=     | achieved=% | CR=Inf | PSNR=   Inf | time=0.0169s
[  5/ 61] SYN_odd uniform 128            | k=   1 | achieved=100.00% | CR=42.7500 | PSNR=   Inf | time=0.0173s
[  6/ 61] SYN_half black half white      | k=   1 | achieved=100.00% | CR=42.6112 | PSNR=   Inf | time=0.0153s
[  7/ 61] SYN_1px stripes                | k=   1 | achieved=100.00% | CR=42.6112 | PSNR=   Inf | time=0.0320s
[  8/ 61] SYN_random noise               | k= 164 | achieved=99.03% | CR=0.1947 | PSNR= 25.01 | time=0.0231s
[  9/ 61] SYN_horizontal gradient        | k=   1 | achieved=100.00% | CR=31.9376 | PSNR=   Inf | time=0.0115s
[ 10/ 61] SYN_vertical gradient          | k=   1 | achieved=100.00% | CR=31.9376 | PSNR=   Inf | time=0.0125s
[ 11/ 61] FILE_Lenstarg.png              | k=   6 | achieved=99.13% | CR=69.1628 | PSNR= 23.15 | time=4.1731s
[ 12/ 61] FILE_Zoneplate.png             | k=   3 | achieved=99.70% | CR=218.5967 | PSNR= 28.75 | time=43.6636s
[ 13/ 61] FILE_BoatsColor.bmp            | k=  24 | achieved=99.01% | CR=3.4619 | PSNR= 25.70 | time=0.1039s
[ 14/ 61] FILE_Colorchecker.bmp          | k=   4 | achieved=99.21% | CR=18.0629 | PSNR= 28.19 | time=0.0845s
[ 15/ 61] FILE_Earth.bmp                 | k= 168 | achieved=99.00% | CR=0.5639 | PSNR= 30.01 | time=0.1809s
[ 16/ 61] FILE_Jupiter.bmp               | k=   3 | achieved=99.09% | CR=50.6009 | PSNR= 29.78 | time=0.4228s
[ 17/ 61] FILE_MachColor.bmp             | k=   1 | achieved=99.38% | CR=58.0939 | PSNR= 27.85 | time=0.0349s
[ 18/ 61] FILE_Malamute.bmp              | k=  79 | achieved=99.01% | CR=2.0478 | PSNR= 26.40 | time=0.4942s
[ 19/ 61] FILE_Maltese.bmp               | k=   6 | achieved=99.02% | CR=48.6851 | PSNR= 23.70 | time=3.3297s
[ 20/ 61] FILE_Mars.bmp                  | k=  83 | achieved=99.00% | CR=1.7128 | PSNR= 30.11 | time=0.4130s
[ 21/ 61] FILE_Mercury.bmp               | k=  30 | achieved=99.00% | CR=2.5315 | PSNR= 30.73 | time=0.0839s
[ 22/ 61] FILE_Neptune.bmp               | k=   4 | achieved=99.06% | CR=31.9688 | PSNR= 32.51 | time=0.3519s
[ 23/ 61] FILE_Rainier.bmp               | k= 221 | achieved=99.00% | CR=0.7816 | PSNR= 28.03 | time=0.5092s
[ 24/ 61] FILE_Saturn.bmp                | k=  21 | achieved=99.01% | CR=7.9336 | PSNR= 31.19 | time=0.6354s
[ 25/ 61] FILE_Sun.bmp                   | k=  24 | achieved=99.03% | CR=10.7603 | PSNR= 29.80 | time=2.4194s
[ 26/ 61] FILE_Sunrise.bmp               | k=   6 | achieved=99.12% | CR=81.6029 | PSNR= 25.18 | time=10.0350s
[ 27/ 61] FILE_Uranus.bmp                | k=  15 | achieved=99.09% | CR=11.5162 | PSNR= 32.53 | time=0.4558s
[ 28/ 61] FILE_Zelda.bmp                 | k=  15 | achieved=99.09% | CR=5.5390 | PSNR= 27.05 | time=0.2049s
[ 29/ 61] FILE_airplane.bmp              | k=  13 | achieved=99.03% | CR=4.9183 | PSNR= 22.90 | time=0.0884s
[ 30/ 61] FILE_airplaneU2.bmp            | k= 155 | achieved=99.00% | CR=0.8254 | PSNR= 35.78 | time=0.3958s
[ 31/ 61] FILE_blobs.bmp                 | k=  99 | achieved=99.02% | CR=0.3213 | PSNR= 47.13 | time=0.0192s
[ 32/ 61] FILE_boats.bmp                 | k=  21 | achieved=99.03% | CR=3.8066 | PSNR= 26.00 | time=0.1000s
[ 33/ 61] FILE_brickwall.bmp             | k=  67 | achieved=99.01% | CR=1.9095 | PSNR= 27.49 | time=0.3839s
[ 34/ 61] FILE_cablecar.bmp              | k=  33 | achieved=99.00% | CR=1.8749 | PSNR= 24.97 | time=0.0725s
[ 35/ 61] FILE_cameraman.bmp             | k=  22 | achieved=99.03% | CR=1.4517 | PSNR= 23.15 | time=0.0173s
[ 36/ 61] FILE_carpet.bmp                | k= 153 | achieved=99.01% | CR=0.8362 | PSNR= 26.38 | time=0.4183s
[ 37/ 61] FILE_cellcolony.bmp            | k=   5 | achieved=99.00% | CR=10.1625 | PSNR= 21.72 | time=0.0411s
[ 38/ 61] FILE_clown.bmp                 | k=  35 | achieved=99.01% | CR=1.8268 | PSNR= 28.84 | time=0.0834s
[ 39/ 61] FILE_cornfield.bmp             | k=  55 | achieved=99.03% | CR=1.1250 | PSNR= 26.76 | time=0.0740s
[ 40/ 61] FILE_couple.bmp                | k=  27 | achieved=99.02% | CR=2.3681 | PSNR= 26.01 | time=0.0779s
[ 41/ 61] FILE_crowd.bmp                 | k=  54 | achieved=99.01% | CR=1.1840 | PSNR= 28.31 | time=0.0852s
[ 42/ 61] FILE_fruits.bmp                | k=  23 | achieved=99.01% | CR=2.6901 | PSNR= 28.19 | time=0.0845s
[ 43/ 61] FILE_girl.bmp                  | k=  14 | achieved=99.03% | CR=5.7099 | PSNR= 25.27 | time=0.1025s
[ 44/ 61] FILE_girlface.bmp              | k=  29 | achieved=99.03% | CR=2.2047 | PSNR= 28.50 | time=0.0837s
[ 45/ 61] FILE_goldhill.bmp              | k=  23 | achieved=99.02% | CR=3.4756 | PSNR= 27.05 | time=0.0963s
[ 46/ 61] FILE_houses.bmp                | k=  64 | achieved=99.01% | CR=0.9990 | PSNR= 25.10 | time=0.0771s
